Year   Salary
-------------
1  40000.0
2  41200.0
3  42436.0
4  43709.08
5  45020.3524
6  46370.962972
7  47762.09186116
8  49194.9546169948
9  50670.803255504645
10  52190.92735316978
11  53756.65517376488
12  53756.65517376488
13  53756.65517376488
14  53756.65517376488
15  53756.65517376488
16  53756.65517376488
17  53756.65517376488
18  53756.65517376488
19  53756.65517376488
20  53756.65517376488
21  53756.65517376488
22  53756.65517376488
23  53756.65517376488
24  53756.65517376488
25  53756.65517376488
